name	fluor	anti	replicate	aliases
14_3_3				14_3_3, 14-3-3
4EBP1_pS65				4EBP1_pS65
53BP1				53BP1
5HMC				5HMC
AF488				IgG_AF488, AF488
AF488			1	A488
AF488		Goat_IgG		Goat_IgG_AF488
AF488		Goat_anti-Rabbit_IgG		Goat_anti_Rabbit_IgG_AF488
AF555				IgG_AF555, AF555
AF555			1	A555
AF555		Donkey_IgG		Donkey_IgG_AF555
AF555		Donkey_anti-Rabbit_IgG		Donkey_anti_Rabbit_IgG_AF555
AF555		Goat_IgG		Goat_IgG_AF555
AF647				IgG_AF647, AF647
AF647			1	A647
AF647		Donkey_IgG		Donkey_IgG_AF647
AF647		Donkey_anti-Mouse_IgG		Donkey_anti_Mouse_IgG_AF647
AF647		Goat_IgG		Goat_IgG_AF647
AKT				AKT
AKT_pT308				AKT_pT308
AR				AR
ATM_pS1981				ATM_pS1981
ATR_pS428				ATR_pS428
AXL				AXL
Actin				Actin
B7_H4				B7_H4, B7-H4
BMP2				BMP2
BRCA1				BRCA1
BRCA2				BRCA2
Bax				Bax
Bcl2				Bcl2
Bcl_xL				Bcl_xL, Bcl-xL
Beta_Catenin				Beta_Catenin, Beta-Catenin
CAV1				CAV1
CCNA2				CCNA2
CCND1				CCND1
CCNE				CCNE
CD11b				CD11b
CD11c				CD11c
CD133				CD133
CD14				CD14
CD163				CD163
CD163	488			CD163_488
CD19				CD19
CD2				CD2
CD20				CD20
CD20	488			CD20_488
CD20P				CD20P
CD3				CD3, anti_CD3
CD31				CD31
CD31	647			CD31_647
CD3D				CD3D
CD4				CD4
CD44				CD44
CD45				CD45, CD45_PE
CD45			1	CD45_1
CD45			2	CD45_2
CD45R				CD45R, CD45R_B220, CD45R/B220
CD45R	eF570			CD45R_eF570
CD45R	eF660			CD45R_eFluor660
CD45R			1	CD45R_1
CD45R			2	CD45R_2
CD45RA				CD45RA
CD45RB				CD45RB
CD45RO				CD45RO, anti_CD45RO
CD4	488			CD4_488
CD4			1	CD4_1
CD4			2	CD4_2
CD4R				CD4R
CD56				CD56
CD66b				CD66b
CD68				CD68
CD68	555			CD68_555
CD8				CD8
CD83				CD83
CD8R				CD8R
CD8a				CD8a
CD8a	660			CD8a_660
CDK1				CDK1
CDX2	647			CDX2_647
CK				CK
CK14				CK14, CK_14, CK-14
CK14			1	CK14_1, CK_14_1
CK14			2	CK14_2, CK_14_2
CK17				CK17, CK_17
CK18				CK18
CK19				CK19, CK_19
CK5				CK5
CK5P				CK5P
CK7				CK7, CK_7
CK8				CK8
COXIV				COXIV
CSF1R				CSF1R
CTLA4				CTLA_4, CTLA4
Ca9				Ca9, Ca_9
Chk1_pS345				Chk1_pS345
Chk2_pT68				pChk2(Thr68)
Col_I				ColI, Col1, CollagenI, Collagen I
Col_IV				ColIV, Col4, CollagenIV, Collagen IV
Col_IV	647			CollagenIV_647
Cyc_A2				CyclinA2, Cyclin_A2, CycA2
Cyc_B1				CyclinB1, Cyclin_B1, CycB1
Cyc_D1				CyclinD1, Cyclin_D1, CycD1
DAPI				DAPI
DAPI			1	DAPI_1
DAPI			10	DAPI_10
DAPI			11	DAPI_11
DAPI			2	DAPI_2
DAPI			3	DAPI_3
DAPI			4	DAPI_4
DAPI			5	DAPI_5
DAPI			6	DAPI_6
DAPI			7	DAPI_7
DAPI			8	DAPI_8
DAPI			9	DAPI_9
DC_LAMP				DC_LAMP
DC_SIGN				DC_SIGN
Desmin				Desmin
Desmin	555			Desmin_555
E2F1				E2F1
EGFR				EGFR
EGFR_pY1068				pEGFR(Y1068)
EGFR_pY1173				EGFR_pY1173
ER				ER
ERK1				ERK_1
ERK1			1	ERK_1_1
ERK1			2	ERK_1_2
ERK_pT202_Y204				ERK_1(pT202;pY204), ERK_1(pT202; pY204), ERK_1_(pT202;pY204)
ERK_pT202_Y204			1	ERK_1_(pT202;pY204)_1
ERK_pT202_Y204			2	ERK_1_(pT202;pY204)_2
ER_alpha				ER_alpha
ET-1				ET_1, PPET1
E_cadherin				E_cadherin, E_Cad, Ecad
E_cadherin	488			Ecad_488
Eomes				Eomes(Tbr2), Eomes, Tbr2, Eomesodermin
EpCAM				EpCAM
FAP				FAP
FGFR1_pY653				FGFR1_pY653
FOXA2				FOXA2
FOXO1a				FOXO1a
FOXP3				FOXP3
FOXP3	570			FOXP3_570
GATA3				GATA_3, GATA3
GFAP				GFAP
GSK3b_pS9				GSK3_b_pS9
Glut1				Glut1
Granzyme_B				GranzymeB, GRNZB, GrB
H2A_X				H2A_X, H2A.X
H2ax_pS139				H2ax(S139), H2A.X_(pS139), H2A_X_(pS139)
H3K27				H3K27
H3K4				H3K4
H3_pS10				Histone_H3_pS10, pHH3, pH3
HAMARTIN				HAMARTIN/Tsc1, HAMARTIN, Tsc1
HER2				HER2
HER2_pY1248				HER2_pY1248
HER3_pY1289				HER3_pY1289
HES1				HES_1, HES1
HIF1a				HIF1a
HLA_A				HLA_A, HLA-A
HSP90b				HSP90b
Hematoxylin				Hematoxylin
Histone				Histone
Histone_H3				HistoneH3, Histone_H3
Hoechst			0	Hoechst0, Hoechst_0
Hoechst			1	Hoechst1, Hoechst_1
Hoechst			10	Hoechst10, Hoechst_10
Hoechst			2	Hoechst2, Hoechst_2
Hoechst			3	Hoechst3, Hoechst_3
Hoechst			4	Hoechst4, Hoechst_4
Hoechst			5	Hoechst5, Hoechst_5
Hoechst			6	Hoechst6, Hoechst_6
Hoechst			7	Hoechst7, Hoechst_7
Hoechst			8	Hoechst8, Hoechst_8
Hoechst			9	Hoechst9, Hoechst_9
IBA1				IBA1
ICOS				ICOS
IDO				IDO
IGF1R_pY1161				IGF1R_pY1161
KAP1				KAP1
Ki67				Ki_67, Ki-67, Ki67
Ki67	488			Ki67_488
Ki67	570			Ki67_570
LAG3				LAG_3, LAG-3, LAG3
LAG3			1	LAG_3_1
